location,time,pm10,pm2_5,carbon_monoxide
Whitefield,2026-08-20T11:00,19.2,9.1,200.0
Whitefield,2026-08-20T12:00,15.3,9.4,230.0
Whitefield,2026-08-20T13:00,13.5,9.5,271.0
Whitefield,2026-08-20T14:00,13.0,9.7,315.0
Whitefield,2026-08-20T15:00,12.4,9.2,339.0
Whitefield,2026-08-20T16:00,11.1,8.4,328.0
Whitefield,2026-08-20T17:00,10.0,7.7,297.0
Whitefield,2026-08-20T18:00,9.0,7.0,263.0
Whitefield,2026-08-20T19:00,7.7,6.0,229.0
Whitefield,2026-08-20T20:00,6.8,5.3,193.0
Whitefield,2026-08-20T21:00,6.0,4.7,165.0
Whitefield,2026-08-20T22:00,5.5,4.3,147.0
Whitefield,2026-08-20T23:00,5.0,4.0,137.0
Whitefield,2026-08-21T00:00,4.5,3.6,138.0
Whitefield,2026-08-21T01:00,4.4,3.4,161.0
Whitefield,2026-08-21T02:00,5.9,4.0,196.0
Whitefield,2026-08-21T03:00,7.5,5.2,214.0
Whitefield,2026-08-21T04:00,9.0,5.9,199.0
Whitefield,2026-08-21T05:00,9.9,6.2,168.0
Whitefield,2026-08-21T06:00,10.9,6.5,145.0
Whitefield,2026-08-21T07:00,13.1,7.1,139.0
Whitefield,2026-08-21T08:00,15.4,7.6,141.0
Whitefield,2026-08-21T09:00,17.1,8.1,147.0
Whitefield,2026-08-21T10:00,17.2,8.2,156.0
Whitefield,2026-08-21T11:00,15.9,8.1,169.0
Whitefield,2026-08-21T12:00,14.0,7.9,188.0
Whitefield,2026-08-21T13:00,12.8,8.7,221.0
Whitefield,2026-08-21T14:00,12.7,9.3,260.0
Whitefield,2026-08-21T15:00,11.6,8.9,281.0
Whitefield,2026-08-21T16:00,10.7,8.3,272.0
Whitefield,2026-08-21T17:00,10.2,8.0,246.0
Whitefield,2026-08-21T18:00,8.6,6.8,219.0
Whitefield,2026-08-21T19:00,7.1,5.7,196.0
Whitefield,2026-08-21T20:00,5.7,4.7,172.0
Whitefield,2026-08-21T21:00,4.5,3.8,153.0
Whitefield,2026-08-21T22:00,3.9,3.3,138.0
Whitefield,2026-08-21T23:00,3.9,3.1,127.0
Whitefield,2026-08-22T00:00,4.2,3.3,128.0
Whitefield,2026-08-22T01:00,4.8,3.8,151.0
Whitefield,2026-08-22T02:00,5.1,4.2,186.0
Whitefield,2026-08-22T03:00,4.5,3.8,206.0
Whitefield,2026-08-22T04:00,4.5,3.6,194.0
Whitefield,2026-08-22T05:00,5.5,4.1,166.0
Whitefield,2026-08-22T06:00,7.4,4.9,146.0
Whitefield,2026-08-22T07:00,7.8,5.0,142.0
Whitefield,2026-08-22T08:00,8.4,5.2,146.0
Whitefield,2026-08-22T09:00,8.9,5.5,154.0
Whitefield,2026-08-22T10:00,9.9,5.9,164.0
Whitefield,2026-08-22T11:00,11.1,6.4,179.0
Whitefield,2026-08-22T12:00,12.1,8.6,201.0
Whitefield,2026-08-22T13:00,12.1,9.2,240.0
Whitefield,2026-08-22T14:00,12.0,9.5,286.0
Whitefield,2026-08-22T15:00,10.8,8.9,310.0
Whitefield,2026-08-22T16:00,8.8,7.4,297.0
Whitefield,2026-08-22T17:00,7.4,6.3,262.0
Whitefield,2026-08-22T18:00,6.4,5.4,228.0
Whitefield,2026-08-22T19:00,5.4,4.5,198.0
Whitefield,2026-08-22T20:00,4.7,3.9,168.0
Whitefield,2026-08-22T21:00,4.3,3.5,147.0
Whitefield,2026-08-22T22:00,3.8,3.1,139.0
Whitefield,2026-08-22T23:00,3.4,2.8,139.0
Whitefield,2026-08-23T00:00,3.4,2.7,142.0
Whitefield,2026-08-23T01:00,3.5,3.0,150.0
Whitefield,2026-08-23T02:00,4.0,3.3,162.0
